Equipment Split,Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Source Airport ID,Source Name,Source City,Source Country,Source Latitude,Source Longitude,Source Altitude,Source Tz database time zone,Airline ID-1,Name,Alias,Callsign,Country,Destination Airport ID,Destination Name,Destination City,Destination Country,IATA,Destination Latitude,Destination Longitude,Destination Altitude,Destination Tz database time zone,Aircraft,IATA code,ICAO code
320,DL,2009,LGA,3697,ATL,3682,3697,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101,1026,America/New_York,Airbus A320,320,A320
320,DL,2009,IAD,3714,ATL,3682,3714,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101,1026,America/New_York,Airbus A320,320,A320
320,DL,2009,MDW,3747,ATL,3682,3747,Chicago Midway International Airport,Chicago,United States,41.785999,-87.752403,620,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101,1026,America/New_York,Airbus A320,320,A320
320,DL,2009,PHL,3752,ATL,3682,3752,Philadelphia International Airport,Philadelphia,United States,39.871898651,-75.241096497,36,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101,1026,America/New_York,Airbus A320,320,A320
320,DL,2009,BHM,3811,ATL,3682,3811,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,650,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101,1026,America/New_York,Airbus A320,320,A320
320,DL,2009,BDL,3825,ATL,3682,3825,Bradley International Airport,Windsor Locks,United States,41.938899994,-72.683197021,173,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101,1026,America/New_York,Airbus A320,320,A320
320,DL,2009,MSP,3858,ATL,3682,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.882,-93.221802,841,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101,1026,America/New_York,Airbus A320,320,A320
320,DL,2009,GSO,4008,ATL,3682,4008,Piedmont Triad International Airport,Greensboro,United States,36.097801208,-79.937301636,925,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101,1026,America/New_York,Airbus A320,320,A320
320,DL,2009,MHT,4011,ATL,3682,4011,Manchester-Boston Regional Airport,Manchester NH,United States,42.932598,-71.435699,266,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101,1026,America/New_York,Airbus A320,320,A320
320,DL,2009,ABQ,4019,ATL,3682,4019,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001,5355,America/Denver,2009,Delta Air Lines,\N,DELTA,United States,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101,1026,America/New_York,Airbus A320,320,A320
320,DL,2009,SLC,3536,STL,3678,3536,Salt Lake City International Airport,Salt Lake City,United States,40.788398743,-111.977996826,4227,America/Denver,2009,Delta Air Lines,\N,DELTA,United States,3678,St Louis Lambert International Airport,St. Louis,United States,STL,38.748697,-90.370003,618,America/Chicago,Airbus A320,320,A320
320,DL,2009,DTW,3645,STL,3678,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.212398529,-83.353401184,645,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3678,St Louis Lambert International Airport,St. Louis,United States,STL,38.748697,-90.370003,618,America/Chicago,Airbus A320,320,A320
320,DL,2009,MSP,3858,STL,3678,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.882,-93.221802,841,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3678,St Louis Lambert International Airport,St. Louis,United States,STL,38.748697,-90.370003,618,America/Chicago,Airbus A320,320,A320
320,DL,2009,SLC,3536,DFW,3670,3536,Salt Lake City International Airport,Salt Lake City,United States,40.788398743,-111.977996826,4227,America/Denver,2009,Delta Air Lines,\N,DELTA,United States,3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,32.896801,-97.038002,607,America/Chicago,Airbus A320,320,A320
320,DL,2009,DTW,3645,DFW,3670,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.212398529,-83.353401184,645,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,32.896801,-97.038002,607,America/Chicago,Airbus A320,320,A320
320,DL,2009,DTW,3645,GRB,3653,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.212398529,-83.353401184,645,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3653,Austin Straubel International Airport,Green Bay,United States,GRB,44.485099792,-88.129600525,695,America/Chicago,Airbus A320,320,A320
320,DL,2009,LAX,3484,TPA,3646,3484,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125,America/Los_Angeles,2009,Delta Air Lines,\N,DELTA,United States,3646,Tampa International Airport,Tampa,United States,TPA,27.975500107,-82.533203125,26,America/New_York,Airbus A320,320,A320
320,DL,2009,LGA,3697,TPA,3646,3697,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3646,Tampa International Airport,Tampa,United States,TPA,27.975500107,-82.533203125,26,America/New_York,Airbus A320,320,A320
320,DL,2009,PUJ,1760,DTW,3645,1760,Punta Cana International Airport,Punta Cana,Dominican Republic,18.567399979,-68.363403320,47,America/Santo_Domingo,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,MBJ,1780,DTW,3645,1780,Sangster International Airport,Montego Bay,Jamaica,18.503700256,-77.913398743,4,America/Jamaica,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,CUN,1852,DTW,3645,1852,Cancún International Airport,Cancun,Mexico,21.036500931,-86.877098084,22,America/Cancun,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,SJU,2890,DTW,3645,2890,Luis Munoz Marin International Airport,San Juan,Puerto Rico,18.439399719,-66.001800537,9,America/Puerto_Rico,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,BOS,3448,DTW,3645,3448,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,MCI,3458,DTW,3645,3458,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,MSN,3459,DTW,3645,3459,Dane County Regional Truax Field,Madison,United States,43.139900208,-89.337501526,887,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,PHX,3462,DTW,3645,3462,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135,America/Phoenix,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,EWR,3494,DTW,3645,3494,Newark Liberty International Airport,Newark,United States,40.692501068,-74.168701172,18,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,SLC,3536,DTW,3645,3536,Salt Lake City International Airport,Salt Lake City,United States,40.788398743,-111.977996826,4227,America/Denver,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,PIT,3570,DTW,3645,3570,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,MIA,3576,DTW,3645,3576,Miami International Airport,Miami,United States,25.793199539,-80.290603638,8,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,IND,3585,DTW,3645,3585,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,797,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,SAT,3621,DTW,3645,3621,San Antonio International Airport,San Antonio,United States,29.533700943,-98.469802856,809,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,RDU,3626,DTW,3645,3626,Raleigh Durham International Airport,Raleigh-durham,United States,35.877601624,-78.787498474,435,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,GRB,3653,DTW,3645,3653,Austin Straubel International Airport,Green Bay,United States,44.485099792,-88.129600525,695,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,DFW,3670,DTW,3645,3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,607,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,STL,3678,DTW,3645,3678,St Louis Lambert International Airport,St. Louis,United States,38.748697,-90.370003,618,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,ATL,3682,DTW,3645,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,1026,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,GRR,3685,DTW,3645,3685,Gerald R. Ford International Airport,Grand Rapids,United States,42.88079834,-85.52279663,794,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,BNA,3690,DTW,3645,3690,Nashville International Airport,Nashville,United States,36.124500275,-86.678199768,599,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,MKE,3717,DTW,3645,3717,General Mitchell International Airport,Milwaukee,United States,42.947200775,-87.896598816,723,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,PBI,3722,DTW,3645,3722,Palm Beach International Airport,West Palm Beach,United States,26.683200836,-80.095596313,19,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,DEN,3751,DTW,3645,3751,Denver International Airport,Denver,United States,39.861698151,-104.672996521,5431,America/Denver,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,BUF,3820,DTW,3645,3820,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,728,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,BWI,3849,DTW,3645,3849,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.1754,-76.668297,146,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,CLT,3876,DTW,3645,3876,Charlotte Douglas International Airport,Charlotte,United States,35.214000702,-80.943099976,748,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,LAS,3877,DTW,3645,3877,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181,America/Los_Angeles,2009,Delta Air Lines,\N,DELTA,United States,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.212398529,-83.353401184,645,America/New_York,Airbus A320,320,A320
320,DL,2009,SLC,3536,RDU,3626,3536,Salt Lake City International Airport,Salt Lake City,United States,40.788398743,-111.977996826,4227,America/Denver,2009,Delta Air Lines,\N,DELTA,United States,3626,Raleigh Durham International Airport,Raleigh-durham,United States,RDU,35.877601624,-78.787498474,435,America/New_York,Airbus A320,320,A320
320,DL,2009,ATL,3682,RDU,3626,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,1026,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3626,Raleigh Durham International Airport,Raleigh-durham,United States,RDU,35.877601624,-78.787498474,435,America/New_York,Airbus A320,320,A320
320,DL,2009,MSP,3858,RDU,3626,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.882,-93.221802,841,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3626,Raleigh Durham International Airport,Raleigh-durham,United States,RDU,35.877601624,-78.787498474,435,America/New_York,Airbus A320,320,A320
320,DL,2009,SLC,3536,SAT,3621,3536,Salt Lake City International Airport,Salt Lake City,United States,40.788398743,-111.977996826,4227,America/Denver,2009,Delta Air Lines,\N,DELTA,United States,3621,San Antonio International Airport,San Antonio,United States,SAT,29.533700943,-98.469802856,809,America/Chicago,Airbus A320,320,A320
320,DL,2009,DTW,3645,SAT,3621,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.212398529,-83.353401184,645,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3621,San Antonio International Airport,San Antonio,United States,SAT,29.533700943,-98.469802856,809,America/Chicago,Airbus A320,320,A320
320,DL,2009,ATL,3682,SAT,3621,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,1026,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3621,San Antonio International Airport,San Antonio,United States,SAT,29.533700943,-98.469802856,809,America/Chicago,Airbus A320,320,A320
320,DL,2009,MBJ,1780,IND,3585,1780,Sangster International Airport,Montego Bay,Jamaica,18.503700256,-77.913398743,4,America/Jamaica,2009,Delta Air Lines,\N,DELTA,United States,3585,Indianapolis International Airport,Indianapolis,United States,IND,39.7173,-86.294403,797,America/New_York,Airbus A320,320,A320
320,DL,2009,CUN,1852,IND,3585,1852,Cancún International Airport,Cancun,Mexico,21.036500931,-86.877098084,22,America/Cancun,2009,Delta Air Lines,\N,DELTA,United States,3585,Indianapolis International Airport,Indianapolis,United States,IND,39.7173,-86.294403,797,America/New_York,Airbus A320,320,A320
320,DL,2009,LAX,3484,IND,3585,3484,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125,America/Los_Angeles,2009,Delta Air Lines,\N,DELTA,United States,3585,Indianapolis International Airport,Indianapolis,United States,IND,39.7173,-86.294403,797,America/New_York,Airbus A320,320,A320
320,DL,2009,SLC,3536,IND,3585,3536,Salt Lake City International Airport,Salt Lake City,United States,40.788398743,-111.977996826,4227,America/Denver,2009,Delta Air Lines,\N,DELTA,United States,3585,Indianapolis International Airport,Indianapolis,United States,IND,39.7173,-86.294403,797,America/New_York,Airbus A320,320,A320
320,DL,2009,DTW,3645,IND,3585,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.212398529,-83.353401184,645,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3585,Indianapolis International Airport,Indianapolis,United States,IND,39.7173,-86.294403,797,America/New_York,Airbus A320,320,A320
320,DL,2009,ATL,3682,IND,3585,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,1026,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3585,Indianapolis International Airport,Indianapolis,United States,IND,39.7173,-86.294403,797,America/New_York,Airbus A320,320,A320
320,DL,2009,MSP,3858,IND,3585,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.882,-93.221802,841,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3585,Indianapolis International Airport,Indianapolis,United States,IND,39.7173,-86.294403,797,America/New_York,Airbus A320,320,A320
320,DL,2009,SLC,3536,SEA,3577,3536,Salt Lake City International Airport,Salt Lake City,United States,40.788398743,-111.977996826,4227,America/Denver,2009,Delta Air Lines,\N,DELTA,United States,3577,Seattle Tacoma International Airport,Seattle,United States,SEA,47.449001,-122.308998,433,America/Los_Angeles,Airbus A320,320,A320
320,DL,2009,PAP,1897,MIA,3576,1897,Toussaint Louverture International Airport,Port-au-prince,Haiti,18.579999924,-72.292503357,122,America/Port-au-Prince,2009,Delta Air Lines,\N,DELTA,United States,3576,Miami International Airport,Miami,United States,MIA,25.793199539,-80.290603638,8,America/New_York,Airbus A320,320,A320
320,DL,2009,DTW,3645,MIA,3576,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.212398529,-83.353401184,645,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3576,Miami International Airport,Miami,United States,MIA,25.793199539,-80.290603638,8,America/New_York,Airbus A320,320,A320
320,DL,2009,ATL,3682,MIA,3576,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,1026,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3576,Miami International Airport,Miami,United States,MIA,25.793199539,-80.290603638,8,America/New_York,Airbus A320,320,A320
320,DL,2009,LGA,3697,MIA,3576,3697,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3576,Miami International Airport,Miami,United States,MIA,25.793199539,-80.290603638,8,America/New_York,Airbus A320,320,A320
320,DL,2009,MSP,3858,MIA,3576,3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.882,-93.221802,841,America/Chicago,2009,Delta Air Lines,\N,DELTA,United States,3576,Miami International Airport,Miami,United States,MIA,25.793199539,-80.290603638,8,America/New_York,Airbus A320,320,A320
320,DL,2009,PUJ,1760,PIT,3570,1760,Punta Cana International Airport,Punta Cana,Dominican Republic,18.567399979,-68.363403320,47,America/Santo_Domingo,2009,Delta Air Lines,\N,DELTA,United States,3570,Pittsburgh International Airport,Pittsburgh,United States,PIT,40.49150085,-80.23290253,1203,America/New_York,Airbus A320,320,A320
320,DL,2009,DTW,3645,PIT,3570,3645,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.212398529,-83.353401184,645,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3570,Pittsburgh International Airport,Pittsburgh,United States,PIT,40.49150085,-80.23290253,1203,America/New_York,Airbus A320,320,A320
320,DL,2009,ATL,3682,PIT,3570,3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,1026,America/New_York,2009,Delta Air Lines,\N,DELTA,United States,3570,Pittsburgh International Airport,Pittsburgh,United States,PIT,40.49150085,-80.23290253,1203,America/New_York,Airbus A320,320,A320
